Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
3412,2134,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Germination percentage,5.462958,More,http://dx.doi.org/10.1021/am402052x
3398,2135,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3403,2135,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.079157,More,http://dx.doi.org/10.1021/am402052x
3408,2135,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.349983,More,http://dx.doi.org/10.1021/am402052x
3413,2135,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Germination percentage,0.528211,More,http://dx.doi.org/10.1021/am402052x
3399,2136,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3404,2136,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.108412,More,http://dx.doi.org/10.1021/am402052x
3409,2136,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.105418,More,http://dx.doi.org/10.1021/am402052x
3414,2136,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Germination percentage,0.33487,More,http://dx.doi.org/10.1021/am402052x
3400,2137,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3405,2137,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.137918,More,http://dx.doi.org/10.1021/am402052x
3410,2137,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.063973,More,http://dx.doi.org/10.1021/am402052x
3415,2137,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Germination percentage,0.19079,More,http://dx.doi.org/10.1021/am402052x
3401,2138,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3406,2138,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.076949,More,http://dx.doi.org/10.1021/am402052x
3411,2138,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.203974,More,http://dx.doi.org/10.1021/am402052x
3416,2138,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Germination percentage,0.085689,More,http://dx.doi.org/10.1021/am402052x
3417,2139,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3422,2139,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,11.906,More,http://dx.doi.org/10.1021/am402052x
3427,2139,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,23.187,More,http://dx.doi.org/10.1021/am402052x
3432,2139,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Germination percentage,23.673,More,http://dx.doi.org/10.1021/am402052x
3418,2140,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3423,2140,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0.200392,More,http://dx.doi.org/10.1021/am402052x
3428,2140,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.192052,More,http://dx.doi.org/10.1021/am402052x
3433,2140,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Germination percentage,0.192792,More,http://dx.doi.org/10.1021/am402052x
3419,2141,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3424,2141,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0.100273,More,http://dx.doi.org/10.1021/am402052x
3429,2141,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.099723,More,http://dx.doi.org/10.1021/am402052x
3434,2141,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Germination percentage,0.100514,More,http://dx.doi.org/10.1021/am402052x
3420,2142,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3425,2142,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0.029537,More,http://dx.doi.org/10.1021/am402052x
3430,2142,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.029537,More,http://dx.doi.org/10.1021/am402052x
3435,2142,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Germination percentage,0.029537,More,http://dx.doi.org/10.1021/am402052x
3421,2143,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3426,2143,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0.029537,More,http://dx.doi.org/10.1021/am402052x
3431,2143,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.029537,More,http://dx.doi.org/10.1021/am402052x
3436,2143,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Germination percentage,0.029537,More,http://dx.doi.org/10.1021/am402052x
3437,2144,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3442,2144,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,39.79397,More,http://dx.doi.org/10.1021/am402052x
3447,2144,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,58.59799,More,http://dx.doi.org/10.1021/am402052x
3452,2144,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Germination percentage,119.21608,More,http://dx.doi.org/10.1021/am402052x
3438,2145,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3443,2145,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,0.279181,More,http://dx.doi.org/10.1021/am402052x
3448,2145,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,0.397474,More,http://dx.doi.org/10.1021/am402052x
3453,2145,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Germination percentage,0.499855,More,http://dx.doi.org/10.1021/am402052x
3439,2146,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3444,2146,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,0.06155,More,http://dx.doi.org/10.1021/am402052x
3449,2146,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,0.109385,More,http://dx.doi.org/10.1021/am402052x
3454,2146,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Germination percentage,0.151372,More,http://dx.doi.org/10.1021/am402052x
3440,2147,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3445,2147,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,0.012433,More,http://dx.doi.org/10.1021/am402052x
3450,2147,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,0.020191,More,http://dx.doi.org/10.1021/am402052x
3455,2147,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Germination percentage,0.03493,More,http://dx.doi.org/10.1021/am402052x
3441,2148,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3446,2148,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,0.007519,More,http://dx.doi.org/10.1021/am402052x
3451,2148,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,0.02244,More,http://dx.doi.org/10.1021/am402052x
3456,2148,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Germination percentage,0.035723,More,http://dx.doi.org/10.1021/am402052x
3457,2149,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Root length,0,More,http://dx.doi.org/10.1021/am402052x
3458,2149,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Root length,0.297214,More,http://dx.doi.org/10.1021/am402052x
3459,2149,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Root length,0.510836,More,http://dx.doi.org/10.1021/am402052x
3460,2149,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Root length,0.337461,More,http://dx.doi.org/10.1021/am402052x
3461,2150,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Root length,0,More,http://dx.doi.org/10.1021/am402052x
3462,2150,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Root length,0.051402,More,http://dx.doi.org/10.1021/am402052x
3463,2150,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Root length,0.076769,More,http://dx.doi.org/10.1021/am402052x
3464,2150,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Root length,0.078104,More,http://dx.doi.org/10.1021/am402052x
3465,2151,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Root length,0,More,http://dx.doi.org/10.1021/am402052x
3466,2151,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Root length,0.265367,More,http://dx.doi.org/10.1021/am402052x
3467,2151,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Root length,0.1994,More,http://dx.doi.org/10.1021/am402052x
3468,2151,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Root length,0.191904,More,http://dx.doi.org/10.1021/am402052x
3469,2152,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Shoot length,0,More,http://dx.doi.org/10.1021/am402052x
3470,2152,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Shoot length,0.61039,More,http://dx.doi.org/10.1021/am402052x
3471,2152,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Shoot length,0.207792,More,http://dx.doi.org/10.1021/am402052x
3472,2152,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Shoot length,0.307359,More,http://dx.doi.org/10.1021/am402052x
3473,2153,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Shoot length,0,More,http://dx.doi.org/10.1021/am402052x
3474,2153,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Shoot length,0.204918,More,http://dx.doi.org/10.1021/am402052x
3475,2153,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Shoot length,0.380328,More,http://dx.doi.org/10.1021/am402052x
3476,2153,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Shoot length,0.36612,More,http://dx.doi.org/10.1021/am402052x
3477,2154,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Shoot length,0,More,http://dx.doi.org/10.1021/am402052x
3478,2154,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Shoot length,0.12187,More,http://dx.doi.org/10.1021/am402052x
3479,2154,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Shoot length,0.131052,More,http://dx.doi.org/10.1021/am402052x
3480,2154,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Shoot length,0.066778,More,http://dx.doi.org/10.1021/am402052x
3481,2155,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Leaf length,0,More,http://dx.doi.org/10.1021/am402052x
3482,2155,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Leaf length,0.07763,More,http://dx.doi.org/10.1021/am402052x
3483,2155,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Leaf length,0.018386,More,http://dx.doi.org/10.1021/am402052x
3484,2155,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Leaf length,0.069459,More,http://dx.doi.org/10.1021/am402052x
3485,2156,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Leaf length,0,More,http://dx.doi.org/10.1021/am402052x
3486,2156,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Leaf length,1.266949,More,http://dx.doi.org/10.1021/am402052x
3487,2156,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Leaf length,2.398305,More,http://dx.doi.org/10.1021/am402052x
3488,2156,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Leaf length,1.911017,More,http://dx.doi.org/10.1021/am402052x
3489,2157,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Leaf length,0,More,http://dx.doi.org/10.1021/am402052x
3490,2157,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Leaf length,0.236559,More,http://dx.doi.org/10.1021/am402052x
3491,2157,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Leaf length,0.129032,More,http://dx.doi.org/10.1021/am402052x
3492,2157,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Leaf length,0.043011,More,http://dx.doi.org/10.1021/am402052x
3493,2158,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Root fresh weight,0,More,http://dx.doi.org/10.1021/am402052x
3494,2158,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Root fresh weight,0.2,More,http://dx.doi.org/10.1021/am402052x
3495,2158,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Root fresh weight,0.1,More,http://dx.doi.org/10.1021/am402052x
3496,2158,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Root fresh weight,0.7,More,http://dx.doi.org/10.1021/am402052x
3497,2159,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Root fresh weight,0,More,http://dx.doi.org/10.1021/am402052x
3498,2159,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Root fresh weight,0.150602,More,http://dx.doi.org/10.1021/am402052x
3499,2159,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Root fresh weight,0.246988,More,http://dx.doi.org/10.1021/am402052x
3500,2159,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Root fresh weight,0.192771,More,http://dx.doi.org/10.1021/am402052x
3501,2160,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Root fresh weight,0,More,http://dx.doi.org/10.1021/am402052x
3502,2160,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Root fresh weight,0.072464,More,http://dx.doi.org/10.1021/am402052x
3503,2160,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Root fresh weight,0.086957,More,http://dx.doi.org/10.1021/am402052x
3504,2160,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Root fresh weight,0.115942,More,http://dx.doi.org/10.1021/am402052x
3505,2161,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Shoot fresh weight,0,More,http://dx.doi.org/10.1021/am402052x
3506,2161,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Shoot fresh weight,0.6,More,http://dx.doi.org/10.1021/am402052x
3507,2161,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Shoot fresh weight,0.2,More,http://dx.doi.org/10.1021/am402052x
3508,2161,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Shoot fresh weight,0.5,More,http://dx.doi.org/10.1021/am402052x
3509,2162,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Shoot fresh weight,0,More,http://dx.doi.org/10.1021/am402052x
3510,2162,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Shoot fresh weight,0.478261,More,http://dx.doi.org/10.1021/am402052x
3511,2162,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Shoot fresh weight,0.652174,More,http://dx.doi.org/10.1021/am402052x
3512,2162,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Shoot fresh weight,0.652174,More,http://dx.doi.org/10.1021/am402052x
3513,2163,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Shoot fresh weight,0,More,http://dx.doi.org/10.1021/am402052x
3514,2163,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Shoot fresh weight,0.171717,More,http://dx.doi.org/10.1021/am402052x
3515,2163,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Shoot fresh weight,0.050505,More,http://dx.doi.org/10.1021/am402052x
3516,2163,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Shoot fresh weight,0.020202,More,http://dx.doi.org/10.1021/am402052x
3517,2164,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Root dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3518,2164,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Root dry weight,0.95,More,http://dx.doi.org/10.1021/am402052x
3519,2164,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Root dry weight,0.05,More,http://dx.doi.org/10.1021/am402052x
3520,2164,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Root dry weight,0.01,More,http://dx.doi.org/10.1021/am402052x
3521,2165,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Root dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3522,2165,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Root dry weight,0.041667,More,http://dx.doi.org/10.1021/am402052x
3523,2165,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Root dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3524,2165,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Root dry weight,0.041667,More,http://dx.doi.org/10.1021/am402052x
3525,2166,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Root dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3526,2166,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Root dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3527,2166,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Root dry weight,0.2,More,http://dx.doi.org/10.1021/am402052x
3528,2166,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Root dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3529,2167,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Shoot dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3530,2167,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Shoot dry weight,0.5,More,http://dx.doi.org/10.1021/am402052x
3531,2167,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Shoot dry weight,0.5,More,http://dx.doi.org/10.1021/am402052x
3532,2167,Dispersive,Carbon Nanotubes,200,_g/ml,Barley,Shoot dry weight,0.357143,More,http://dx.doi.org/10.1021/am402052x
3533,2168,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Shoot dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3534,2168,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Shoot dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3535,2168,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Shoot dry weight,0.2,More,http://dx.doi.org/10.1021/am402052x
3536,2168,Dispersive,Carbon Nanotubes,200,_g/ml,Corn,Shoot dry weight,0.2,More,http://dx.doi.org/10.1021/am402052x
3537,2169,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Shoot dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3538,2169,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Shoot dry weight,0.133333,More,http://dx.doi.org/10.1021/am402052x
3539,2169,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Shoot dry weight,0,More,http://dx.doi.org/10.1021/am402052x
3540,2169,Dispersive,Carbon Nanotubes,200,_g/ml,Soybean,Shoot dry weight,0.066667,More,http://dx.doi.org/10.1021/am402052x
3541,2170,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3547,2170,Dispersive,Carbon Nanotubes,25,_g/ml,Barley,Germination percentage,3.968,More,http://dx.doi.org/10.1021/am402052x
3553,2170,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,22.819,More,http://dx.doi.org/10.1021/am402052x
3559,2170,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,45.472,More,http://dx.doi.org/10.1021/am402052x
3542,2171,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3548,2171,Dispersive,Carbon Nanotubes,25,_g/ml,Barley,Germination percentage,0.282484,More,http://dx.doi.org/10.1021/am402052x
3554,2171,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.773146,More,http://dx.doi.org/10.1021/am402052x
3560,2171,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,3.35679,More,http://dx.doi.org/10.1021/am402052x
3543,2172,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3549,2172,Dispersive,Carbon Nanotubes,25,_g/ml,Barley,Germination percentage,0.009494,More,http://dx.doi.org/10.1021/am402052x
3555,2172,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,2.104739,More,http://dx.doi.org/10.1021/am402052x
3561,2172,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,2.297246,More,http://dx.doi.org/10.1021/am402052x
3544,2173,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3550,2173,Dispersive,Carbon Nanotubes,25,_g/ml,Barley,Germination percentage,0.329787,More,http://dx.doi.org/10.1021/am402052x
3556,2173,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.804009,More,http://dx.doi.org/10.1021/am402052x
3562,2173,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.814292,More,http://dx.doi.org/10.1021/am402052x
3545,2174,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3551,2174,Dispersive,Carbon Nanotubes,25,_g/ml,Barley,Germination percentage,0.407461,More,http://dx.doi.org/10.1021/am402052x
3557,2174,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.590668,More,http://dx.doi.org/10.1021/am402052x
3563,2174,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.662874,More,http://dx.doi.org/10.1021/am402052x
3546,2175,Dispersive,Carbon Nanotubes,0,_g/ml,Barley,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3552,2175,Dispersive,Carbon Nanotubes,25,_g/ml,Barley,Germination percentage,0.27075,More,http://dx.doi.org/10.1021/am402052x
3558,2175,Dispersive,Carbon Nanotubes,50,_g/ml,Barley,Germination percentage,0.339143,More,http://dx.doi.org/10.1021/am402052x
3564,2175,Dispersive,Carbon Nanotubes,100,_g/ml,Barley,Germination percentage,0.400616,More,http://dx.doi.org/10.1021/am402052x
3565,2176,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3571,2176,Dispersive,Carbon Nanotubes,25,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3577,2176,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3583,2176,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.418,More,http://dx.doi.org/10.1021/am402052x
3566,2177,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3572,2177,Dispersive,Carbon Nanotubes,25,_g/ml,Corn,Germination percentage,4.177,More,http://dx.doi.org/10.1021/am402052x
3578,2177,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,12.886,More,http://dx.doi.org/10.1021/am402052x
3584,2177,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,8.677,More,http://dx.doi.org/10.1021/am402052x
3567,2178,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3573,2178,Dispersive,Carbon Nanotubes,25,_g/ml,Corn,Germination percentage,2.940623,More,http://dx.doi.org/10.1021/am402052x
3579,2178,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,1.782775,More,http://dx.doi.org/10.1021/am402052x
3585,2178,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,1.539756,More,http://dx.doi.org/10.1021/am402052x
3568,2179,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3574,2179,Dispersive,Carbon Nanotubes,25,_g/ml,Corn,Germination percentage,1.606544,More,http://dx.doi.org/10.1021/am402052x
3580,2179,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,1.48018,More,http://dx.doi.org/10.1021/am402052x
3586,2179,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,1.604621,More,http://dx.doi.org/10.1021/am402052x
3569,2180,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3575,2180,Dispersive,Carbon Nanotubes,25,_g/ml,Corn,Germination percentage,0.877046,More,http://dx.doi.org/10.1021/am402052x
3581,2180,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0.791186,More,http://dx.doi.org/10.1021/am402052x
3587,2180,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.975369,More,http://dx.doi.org/10.1021/am402052x
3570,2181,Dispersive,Carbon Nanotubes,0,_g/ml,Corn,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3576,2181,Dispersive,Carbon Nanotubes,25,_g/ml,Corn,Germination percentage,0.525546,More,http://dx.doi.org/10.1021/am402052x
3582,2181,Dispersive,Carbon Nanotubes,50,_g/ml,Corn,Germination percentage,0.601153,More,http://dx.doi.org/10.1021/am402052x
3588,2181,Dispersive,Carbon Nanotubes,100,_g/ml,Corn,Germination percentage,0.601153,More,http://dx.doi.org/10.1021/am402052x
3589,2182,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3595,2182,Dispersive,Carbon Nanotubes,25,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3601,2182,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3607,2182,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3590,2183,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3596,2183,Dispersive,Carbon Nanotubes,25,_g/ml,Soybean,Germination percentage,13.104,More,http://dx.doi.org/10.1021/am402052x
3602,2183,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,4.216,More,http://dx.doi.org/10.1021/am402052x
3608,2183,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3591,2184,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3597,2184,Dispersive,Carbon Nanotubes,25,_g/ml,Soybean,Germination percentage,1.953463,More,http://dx.doi.org/10.1021/am402052x
3603,2184,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,3.784825,More,http://dx.doi.org/10.1021/am402052x
3609,2184,Dispersive,Carbon Nanotubes,100,_g/ml,Soybean,Germination percentage,3.550661,More,http://dx.doi.org/10.1021/am402052x
3592,2185,Dispersive,Carbon Nanotubes,0,_g/ml,Soybean,Germination percentage,0,More,http://dx.doi.org/10.1021/am402052x
3598,2185,Dispersive,Carbon Nanotubes,25,_g/ml,Soybean,Germination percentage,1.819855,More,http://dx.doi.org/10.1021/am402052x
3604,2185,Dispersive,Carbon Nanotubes,50,_g/ml,Soybean,Germination percentage,2.974089,More,http://dx.doi.org/10.1021/am402052x
